site,location,land cover type,day of year,time of day,value,reference,remarks
example,London,built-up surface,10,13:00,0.1,[Kotthaus et al (2014)](https://www.sciencedirect.com/science/article/pii/S0924271614001233#),a sample concrete slab
satellite image used,North Carolina, grassland, 175, no time specified, 0.216, [Igusky and Jackson (2008)] (https://dukespace.lib.duke.edu/dspace/bitstream/handle/10161/497/MP_kai2_a_200805.pdf)
